TAXA	Isolate ID	Bioproject	Suburb	Inner_northwest_lineage
SRR6346240	DMG1701359	PRJNA421048	Bellarine Peninsula	N
SRR6346234	DMG1701365	PRJNA421048	Bellarine Peninsula	N
SRR6346243	DMG1701368	PRJNA421048	Bellarine Peninsula	N
SRR6346364	DMG1701371	PRJNA421048	Bellarine Peninsula	N
SRR6346359	DMG1701376	PRJNA421048	Bellarine Peninsula	N
SRR6346374	DMG1701384	PRJNA421048	Bellarine Peninsula	N
SRR6346296	DMG1701398	PRJNA421048	Bellarine Peninsula	N
SRR6346336	DMG1701405	PRJNA421048	Bellarine Peninsula	N
SRR6346333	DMG1701406	PRJNA421048	Bellarine Peninsula	N
SRR6346328	DMG1701409	PRJNA421048	Bellarine Peninsula	N
SRR6346297	DMG1701397	PRJNA421048	Gippsland	N
SRR6346276	DMG1701420	PRJNA421048	Gippsland	N
SRR6346292	DMG1701428	PRJNA421048	Gippsland	N
SRR6346206	DMG1701435	PRJNA421048	Gippsland	N
SRR6346230	DMG1701442	PRJNA421048	Gippsland	N
SRR6346351	DMG1701477	PRJNA421048	Gippsland	N
SRR6346340	DMG1701493	PRJNA421048	Gippsland	N
SRR6346339	DMG1701495	PRJNA421048	Gippsland	N
SRR6346287	DMG1701516	PRJNA421048	Gippsland	N
SRR6346285	DMG1701518	PRJNA421048	Gippsland	N
SRR6346282	DMG1701351	PRJNA421048	North Mornington Peninsula	N
SRR6346362	DMG1701373	PRJNA421048	North Mornington Peninsula	N
SRR6346299	DMG1701389	PRJNA421048	North Mornington Peninsula	N
SRR6346303	DMG1701393	PRJNA421048	North Mornington Peninsula	N
SRR6346304	DMG1701396	PRJNA421048	North Mornington Peninsula	N
SRR6346331	DMG1701400	PRJNA421048	North Mornington Peninsula	N
SRR6346330	DMG1701403	PRJNA421048	North Mornington Peninsula	N
SRR6346335	DMG1701404	PRJNA421048	North Mornington Peninsula	N
SRR6346279	DMG1701423	PRJNA421048	North Mornington Peninsula	N
SRR6346244	DMG1701459	PRJNA421048	Phillip Island	N
SRR6346314	DMG1701508	PRJNA421048	Phillip Island	N
SRR6346316	DMG1701512	PRJNA421048	Phillip Island	N
SRR6346290	DMG1701513	PRJNA421048	Phillip Island	N
SRR6346377	DMG1701522	PRJNA421048	Phillip Island	N
SRR6346254	DMG1701349	PRJNA421048	South Mornington Peninsula	N
SRR6346280	DMG1701353	PRJNA421048	South Mornington Peninsula	N
SRR6346246	DMG1701357	PRJNA421048	South Mornington Peninsula	N
SRR6346247	DMG1701358	PRJNA421048	South Mornington Peninsula	N
SRR6346241	DMG1701360	PRJNA421048	South Mornington Peninsula	N
SRR6346238	DMG1701361	PRJNA421048	South Mornington Peninsula	N
SRR6346239	DMG1701362	PRJNA421048	South Mornington Peninsula	N
SRR6346235	DMG1701366	PRJNA421048	South Mornington Peninsula	N
SRR6346358	DMG1701377	PRJNA421048	South Mornington Peninsula	N
SRR39122044	AUSMDU00104858	PRJNA857537	Inner_northwest	Y
SRR39121765	AUSMDU00112103	PRJNA857537	Inner_northwest	Y
