TAXA	Isolate ID	Bioproject	Inner_northwest_genomic_signature_SNP	Case_ID
SRR39121646	AUSMDU00096694	PRJNA857537	N	NA
SRR39121647	AUSMDU00096693	PRJNA857537	Y	NA
SRR39121648	AUSMDU00096692	PRJNA857537	N	NA
SRR39121649	AUSMDU00096691	PRJNA857537	N	NA
SRR39121650	AUSMDU00096595	PRJNA857537	Y	NA
SRR39121651	AUSMDU00096594	PRJNA857537	Y	NA
SRR39121652	AUSMDU00094358	PRJNA857537	N	NA
SRR39121653	AUSMDU00096593	PRJNA857537	Y	NA
SRR39121654	AUSMDU00096592	PRJNA857537	Y	NA
SRR39121655	AUSMDU00096591	PRJNA857537	N	NA
SRR39121656	AUSMDU00096497	PRJNA857537	Y	NA
SRR39121657	AUSMDU00096493	PRJNA857537	N	NA
SRR39121658	AUSMDU00096485	PRJNA857537	N	NA
SRR39121659	AUSMDU00096479	PRJNA857537	N	NA
SRR39121660	AUSMDU00096466	PRJNA857537	N	NA
SRR39121661	AUSMDU00096455	PRJNA857537	N	NA
SRR39121662	AUSMDU00096447	PRJNA857537	N	NA
SRR39121663	AUSMDU00094357	PRJNA857537	Y	NA
SRR39121664	AUSMDU00096442	PRJNA857537	N	NA
SRR39121665	AUSMDU00096432	PRJNA857537	N	NA
SRR39121666	AUSMDU00096428	PRJNA857537	N	NA
SRR39121667	AUSMDU00096427	PRJNA857537	N	NA
SRR39121668	AUSMDU00096415	PRJNA857537	N	NA
SRR39121669	AUSMDU00096408	PRJNA857537	N	NA
SRR39121670	AUSMDU00096407	PRJNA857537	N	NA
SRR39121671	AUSMDU00096400	PRJNA857537	Y	NA
SRR39121672	AUSMDU00096398	PRJNA857537	Y	NA
SRR39121673	AUSMDU00096392	PRJNA857537	Y	NA
SRR39121674	AUSMDU00094356	PRJNA857537	N	NA
SRR39121675	AUSMDU00096040	PRJNA857537	N	NA
SRR39121676	AUSMDU00096039	PRJNA857537	Y	NA
SRR39121677	AUSMDU00096038	PRJNA857537	Y	NA
SRR39121678	AUSMDU00095264	PRJNA857537	N	NA
SRR39121679	AUSMDU00115948	PRJNA857537	Y	52_2024
SRR39121680	AUSMDU00115943	PRJNA857537	N	NA
SRR39121681	AUSMDU00115938	PRJNA857537	N	NA
SRR39121682	AUSMDU00115929	PRJNA857537	N	NA
SRR39121683	AUSMDU00115927	PRJNA857537	N	NA
SRR39121684	AUSMDU00115918	PRJNA857537	N	NA
SRR39121685	AUSMDU00115892	PRJNA857537	N	NA
SRR39121686	AUSMDU00115890	PRJNA857537	Y	4_2024
SRR39121687	AUSMDU00115885	PRJNA857537	N	NA
SRR39121688	AUSMDU00115884	PRJNA857537	N	NA
SRR39121689	AUSMDU00095263	PRJNA857537	N	NA
SRR39121690	AUSMDU00115819	PRJNA857537	N	NA
SRR39121691	AUSMDU00115804	PRJNA857537	N	NA
SRR39121692	AUSMDU00115778	PRJNA857537	Y	54_2024
SRR39121693	AUSMDU00115774	PRJNA857537	N	NA
SRR39121694	AUSMDU00115769	PRJNA857537	Y	51_2024
SRR39121695	AUSMDU00115759	PRJNA857537	N	NA
SRR39121696	AUSMDU00115596	PRJNA857537	N	NA
SRR39121697	AUSMDU00115588	PRJNA857537	N	NA
